Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.999587,0.9998372,0.0007493891,13.7873344421387,4.891485,1.907884
100ms,10ms,0.9998721,0.9999105,0.0001239952,10.4845418930054,4.681035,3.527434
100ms,15ms,0.9994771,0.9996449,0.0005366523,9.14971733093262,6.675318,0
100ms,20ms,0.9991759,0.9994402,0.0008717259,7.98955869674683,3.931058,3.04593
100ms,25ms,0.9984854,0.999067,0.001772883,7.30174160003662,3.605493,2.213083
100ms,30ms,0.995571,0.9973451,0.00538138,6.67531776428223,3.453776,2.112008
100ms,35ms,0.9873165,0.9895996,0.01113887,6.38339614868164,3.308988,1.823882
100ms,40ms,0.9818719,0.9857487,0.01641494,5.83894205093384,3.170813,1.640969
100ms,45ms,0.9819937,0.9937005,0.02136747,5.58521890640259,3.170813,1.640969
100ms,50ms,0.9696561,0.9743466,0.02594408,5.34308385848999,3.308988,1.427214
100ms,5ms,0.9994676,0.9998078,0.001496762,12.5820207595825,0,0
150ms,10ms,0.9970632,0.9977851,0.002814125,10.4845418930054,6.675318,0
150ms,15ms,0.9967861,0.9973893,0.002742288,10.9727344512939,6.675318,0.2919216
150ms,20ms,0.9943137,0.9944369,0.003711222,9.14971733093262,4.480196,3.344448
150ms,25ms,0.9911957,0.9936216,0.007504914,7.63761329650879,4.105616,3.426405
150ms,30ms,0.9861852,0.9892882,0.01219944,6.98120975494385,3.605493,1.888023
150ms,35ms,0.9839677,0.9892884,0.01417439,7.30174160003662,3.605493,2.002632
150ms,40ms,0.9801529,0.9861966,0.01743471,6.67531776428223,3.605493,2.002632
150ms,45ms,0.9734755,0.9792317,0.02208686,6.38339614868164,3.453776,1.801793
150ms,5ms,0.9977372,0.9983696,0.002086091,13.7873344421387,0,0
300ms,0ms,0.997911,0.9996765,0.003833082,6.98120975494385,0,0
300ms,10ms,0.99396,0.9947812,0.0042864,13.7873344421387,9.574028,2.614387
300ms,15ms,0.9934939,0.9941199,0.003514105,12.5820207595825,0,0
300ms,25ms,0.9917908,0.9935051,0.005689041,10.0186462402344,7.301742,1.314241
300ms,30ms,0.9903352,0.9923826,0.006679617,9.14971733093262,6.675318,0.2919216
300ms,35ms,0.9854303,0.9888167,0.009477252,8.74478530883789,4.288529,3.996916
300ms,40ms,0.9837863,0.9861689,0.009112767,8.35834789276123,4.105616,2.933994
300ms,45ms,0.977362,0.9828849,0.01356522,7.98955869674683,4.105616,3.311795
300ms,50ms,0.9734351,0.9776648,0.01584907,7.63761329650879,3.931058,2.792207
50ms,0ms,0.9998892,0.9999676,0.0002067567,7.98955869674683,3.453776,1.495518
50ms,10ms,0.9991525,0.9996852,0.001270703,6.10480690002441,2.913106,2.012944
50ms,15ms,0.9985399,0.9991413,0.002892201,5.83894205093384,3.170813,1.640969
50ms,20ms,0.9984509,0.9984422,0.0008747903,5.34308385848999,2.913106,1.335522
50ms,25ms,0.9973053,0.9973822,0.001124344,5.11200761795044,2.913106,1.088742
50ms,30ms,0.9936914,0.9958112,0.004685713,4.8914852142334,3.038949,1.036466
50ms,35ms,0.9914628,0.9923353,0.005441672,4.68103456497192,3.038949,1.036466
50ms,40ms,0.9893087,0.9903619,0.005215885,4.10561609268188,2.010048,2.184974
50ms,45ms,0.9861224,0.9868311,0.005072254,4.10561609268188,2.092672,2.088418
50ms,50ms,0.9817094,0.9823256,0.007309801,3.9310576915741,2.092672,2.137824
50ms,5ms,0.9993927,0.9996379,0.00096688,6.67531776428223,3.170813,1.46641
70ms,0ms,0.9996826,0.9999812,0.001096256,12.0203294754028,4.288529,1.506514
70ms,10ms,0.9992571,0.9997439,0.001652647,6.67531776428223,3.308988,2.216387
70ms,15ms,0.999024,0.99941,0.001053872,6.67531776428223,3.453776,2.112008
70ms,20ms,0.9986299,0.9989917,0.001485024,6.38339614868164,3.308988,1.823882
70ms,25ms,0.9974073,0.9975442,0.001745166,5.58521890640259,3.170813,1.362031
70ms,30ms,0.9947187,0.995805,0.003598312,5.11200761795044,3.308988,0.9714599
70ms,35ms,0.9913495,0.9934382,0.005722846,5.34308385848999,3.308988,0.8513651
70ms,40ms,0.9883721,0.9895132,0.006710018,4.68103456497192,2.678402,1.595445
70ms,45ms,0.9857211,0.9870982,0.007795275,4.68103456497192,3.170813,0.8124816
70ms,50ms,0.9814789,0.9852868,0.01045568,4.68103456497192,2.678402,1.955292
70ms,5ms,0.9995493,0.9998093,0.0009383123,7.30174160003662,3.605493,1.687184
