Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.9481741,0.9516319,0.02294388,18.803165435791,10.88533,1.904866
100ms,10ms,0.9423918,0.9435789,0.02485462,15.442816734314,8.433722,2.805925
100ms,15ms,0.9202114,0.9293233,0.04064309,15.442816734314,7.60311,5.515187
100ms,20ms,0.8769257,0.8754926,0.04468764,13.305401802063,6.158304,7.178108
100ms,25ms,0.8270473,0.8367326,0.05271292,12.9774942398071,5.682652,8.574416
100ms,30ms,0.805523,0.8023351,0.05144718,11.4484825134277,4.694666,8.514693
100ms,35ms,0.7829768,0.7686108,0.06815637,10.8853330612183,4.08191,7.516288
100ms,40ms,0.7571706,0.7498564,0.06982792,11.4484825134277,3.856226,8.0724
100ms,45ms,0.7297025,0.7183847,0.07612939,10.6135091781616,3.856226,8.658681
100ms,50ms,0.6725132,0.6784543,0.07972004,9.34600257873535,3.967745,7.429318
100ms,5ms,0.9429789,0.9475318,0.02312498,17.0442600250244,9.346003,2.876653
150ms,0ms,0.9211583,0.9283596,0.03464551,18.803165435791,10.61351,2.692664
150ms,10ms,0.9177949,0.9246084,0.03535738,17.4686450958252,8.00868,5.047832
150ms,15ms,0.8998541,0.9070889,0.05234611,17.0442600250244,9.10985,3.947487
150ms,20ms,0.8600135,0.8643873,0.06636605,15.8292093276978,8.21871,6.203003
150ms,25ms,0.7777506,0.7770516,0.06960767,15.442816734314,5.837501,8.37604
150ms,30ms,0.7182689,0.7158029,0.07516843,14.6966857910156,4.960604,9.266788
150ms,35ms,0.7154533,0.7186356,0.08577085,12.6571865081787,5.383638,9.452991
150ms,40ms,0.6940401,0.690484,0.08780386,12.3443021774292,4.440912,9.403462
150ms,45ms,0.6397629,0.6167669,0.08889761,11.1636066436768,4.08191,8.764757
150ms,50ms,0.6050727,0.5893202,0.09202616,10.8853330612183,3.967745,7.627979
150ms,5ms,0.9175048,0.9159753,0.03287516,18.3478546142578,8.879169,3.669213
300ms,0ms,0.8783633,0.8790073,0.06027918,21.246955871582,11.44848,3.142245
300ms,10ms,0.842904,0.8682861,0.09759206,19.2692775726318,10.08861,3.819957
300ms,15ms,0.696207,0.702898,0.172971,20.234935760498,9.10985,5.675684
300ms,20ms,0.7918959,0.840713,0.1641,17.90309715271,7.21612,7.839884
300ms,25ms,0.9156406,0.9922515,0.1700966,17.4686450958252,7.407347,8.025874
300ms,30ms,0.9363186,0.9974366,0.1473568,16.2247676849365,7.60311,8.397786
300ms,35ms,0.2174692,0.1911196,0.1223818,15.0653781890869,5.531393,10.10651
300ms,40ms,0.9975449,0.9994093,0.003649553,15.0653781890869,6.668618,4.053093
300ms,45ms,0.9986432,0.9997315,0.002127975,13.9847364425659,7.60311,6.120866
300ms,50ms,0.9974918,0.9997295,0.00398075,13.305401802063,8.00868,7.807602
300ms,5ms,0.8571959,0.8634005,0.08334558,19.7464466094971,10.08861,3.306394
50ms,0ms,0.9621429,0.9649695,0.0200813,14.6966857910156,9.835249,1.503659
50ms,10ms,0.9601043,0.9690046,0.02869869,13.6410865783691,8.00868,4.451611
50ms,15ms,0.9471564,0.9510412,0.03134429,12.0386667251587,5.682652,6.690554
50ms,20ms,0.9194055,0.9227099,0.03055704,11.1636066436768,4.960604,7.524332
50ms,25ms,0.8933479,0.8977139,0.04079324,9.83524894714355,4.694666,6.917316
50ms,30ms,0.8688866,0.8676755,0.05338033,9.83524894714355,4.440912,7.338616
50ms,35ms,0.8470416,0.8512238,0.04658432,9.58775806427002,3.536937,6.175152
50ms,40ms,0.8285629,0.826518,0.05111066,8.65383529663086,3.536937,6.832112
50ms,45ms,0.792406,0.7770585,0.05222275,7.60311031341553,3.144695,4.672169
50ms,50ms,0.7535464,0.7440239,0.0584741,6.49450969696045,3.144695,3.723026
50ms,5ms,0.9640343,0.9673384,0.02015563,14.6966857910156,6.668618,6.866218
70ms,0ms,0.9587525,0.9613168,0.02122936,16.2247676849365,10.08861,2.569313
70ms,10ms,0.9546739,0.9561725,0.02420912,15.0653781890869,8.21871,3.166631
70ms,15ms,0.9447885,0.9496456,0.02572999,13.6410865783691,7.029324,6.232385
70ms,20ms,0.906674,0.9135461,0.03404811,12.3443021774292,5.531393,7.385213
70ms,25ms,0.8676218,0.8677375,0.03803765,12.0386667251587,4.826076,7.179639
70ms,30ms,0.8507888,0.8461994,0.04496519,10.6135091781616,4.318428,7.816524
70ms,35ms,0.8341786,0.835236,0.04600339,10.3479833602905,4.198783,8.050696
70ms,40ms,0.8056413,0.7957071,0.05706724,10.0886106491089,4.08191,7.885333
70ms,45ms,0.769631,0.7699774,0.05473622,8.87916946411133,3.856226,6.735078
70ms,50ms,0.7199044,0.7034198,0.06463604,8.4337215423584,3.144695,4.506084
70ms,5ms,0.9552853,0.9597979,0.02418975,15.8292093276978,9.346003,1.654889
