Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.9389361,0.9450353,0.03097354,23.9947032928467,17.04426,0.8389339
100ms,10ms,0.9158266,0.9167561,0.02928873,23.4190864562988,15.82921,2.707722
100ms,15ms,0.9126432,0.9137083,0.03739953,25.8047904968262,15.44282,3.059524
100ms,20ms,0.9070728,0.9195997,0.05083833,24.5839767456055,15.06538,4.066766
100ms,25ms,0.9086486,0.913245,0.05032982,23.9947032928467,14.69669,10.62179
100ms,30ms,0.8923777,0.8978799,0.04218058,22.8568077087402,14.33654,10.37564
100ms,35ms,0.8667922,0.8742833,0.04663132,22.307559967041,10.61351,10.88596
100ms,40ms,0.8375998,0.8529425,0.05565325,20.735013961792,10.34798,11.04824
100ms,45ms,0.8058417,0.8164133,0.07455381,19.7464466094971,9.835249,10.94706
100ms,50ms,0.7937605,0.7851573,0.1134715,18.803165435791,9.587758,13.57746
100ms,5ms,0.9365158,0.9432871,0.03082257,23.4190864562988,16.22477,2.403267
150ms,0ms,0.9079418,0.9159197,0.04655859,27.7467823028564,17.04426,0.8389339
150ms,10ms,0.8970941,0.8972613,0.03924709,25.8047904968262,15.82921,3.403173
150ms,15ms,0.8712257,0.8824885,0.06403611,25.1872291564941,15.44282,4.163243
150ms,20ms,0.8727614,0.8806747,0.06163738,26.4370059967041,15.44282,4.163243
150ms,25ms,0.8599035,0.8614098,0.05420455,25.8047904968262,15.06538,4.491151
150ms,30ms,0.8517516,0.8632257,0.06524538,25.1872291564941,14.69669,10.80003
150ms,35ms,0.808558,0.8096898,0.05276954,23.4190864562988,13.3054,11.14421
150ms,40ms,0.7941715,0.796953,0.0689733,22.8568077087402,12.3443,11.63114
150ms,45ms,0.7677035,0.7789168,0.0715232,22.8568077087402,11.44848,11.20676
150ms,50ms,0.7355562,0.7479818,0.09343314,21.7710418701172,10.61351,11.78599
150ms,5ms,0.9030319,0.8960758,0.04664764,25.8047904968262,17.04426,0.8389339
300ms,0ms,0.8170122,0.8204089,0.08605997,28.4250679016113,17.04426,1.243877
300ms,10ms,0.8144202,0.8109825,0.07271869,27.7467823028564,17.04426,2.518645
300ms,15ms,0.7899348,0.7907717,0.08878521,27.7467823028564,16.22477,4.363118
300ms,20ms,0.7861828,0.796784,0.1000506,28.4250679016113,16.22477,4.363118
300ms,25ms,0.7768748,0.7927865,0.1038512,29.1194458007812,15.82921,5.497764
300ms,30ms,0.7759622,0.7938,0.1043369,27.0842189788818,14.33654,12.13455
300ms,35ms,0.4834127,0.4597285,0.1228648,28.4250679016113,15.06538,12.60066
300ms,40ms,0.3159161,0.2970442,0.1036007,27.7467823028564,14.33654,13.42201
300ms,45ms,0.9932328,0.9978503,0.008662163,26.4370059967041,14.69669,11.31273
300ms,50ms,0.9896604,0.9957628,0.0126013,26.4370059967041,13.98474,13.1319
300ms,5ms,0.8286676,0.8310807,0.08805993,28.4250679016113,17.04426,2.518645
50ms,0ms,0.9647977,0.9698332,0.02218493,22.307559967041,14.33654,2.137415
50ms,10ms,0.9595937,0.9664884,0.02214812,22.8568077087402,13.98474,0.6954517
50ms,15ms,0.9522827,0.9557627,0.02553675,21.7710418701172,15.44282,3.403173
50ms,20ms,0.9430922,0.9501705,0.02782037,21.7710418701172,14.33654,2.137415
50ms,25ms,0.9378127,0.9432003,0.0315182,19.7464466094971,13.98474,8.982353
50ms,30ms,0.921222,0.9265349,0.04134557,19.7464466094971,13.98474,9.730258
50ms,35ms,0.8974859,0.912164,0.05150338,18.3478546142578,12.65719,10.06646
50ms,40ms,0.8747092,0.8851671,0.05808842,16.629711151123,8.433722,8.499038
50ms,45ms,0.8616973,0.8757461,0.07003084,16.2247676849365,7.803518,10.54934
50ms,50ms,0.8468549,0.860332,0.08013695,17.0442600250244,7.803518,9.969183
50ms,5ms,0.9586313,0.9656419,0.02462605,22.307559967041,13.98474,3.324309
70ms,0ms,0.9565641,0.9595349,0.02086383,22.8568077087402,16.62971,1.639436
70ms,10ms,0.9472631,0.953725,0.02706912,22.307559967041,14.33654,2.988625
70ms,15ms,0.939184,0.9428177,0.03168571,22.307559967041,15.44282,3.403173
70ms,20ms,0.9333434,0.9404792,0.03350638,22.307559967041,15.06538,3.738858
70ms,25ms,0.9238012,0.9276831,0.03342402,22.307559967041,14.33654,9.782854
70ms,30ms,0.9093133,0.9178848,0.03325469,20.735013961792,14.33654,10.1352
70ms,35ms,0.8940569,0.9022422,0.05022079,19.7464466094971,12.3443,10.47141
70ms,40ms,0.8701949,0.8884759,0.06847147,19.2692775726318,9.10985,10.38727
70ms,45ms,0.8554452,0.8539252,0.07979777,17.90309715271,8.879169,11.0972
70ms,50ms,0.8264979,0.8072873,0.0915722,18.3478546142578,8.433722,12.10343
70ms,5ms,0.9505445,0.9574851,0.0266084,21.7710418701172,14.33654,3.738858
