Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.9676586,0.9714946,0.03121346,17.0462741851807,9.373525,7.520961
100ms,10ms,0.9638115,0.9697816,0.02139532,16.0622177124023,10.57189,7.743876
100ms,15ms,0.9454371,0.9485462,0.02592555,14.2584524154663,6.716438,0.8197589
100ms,20ms,0.9165379,0.9303914,0.04760912,15.1339998245239,7.138286,3.341594
100ms,25ms,0.8551912,0.8245028,0.06983899,10.2590503692627,5.943195,2.784791
100ms,30ms,0.8194369,0.7779377,0.07766616,10.5718936920166,4.36283,3.215092
100ms,35ms,0.7693911,0.73137,0.08554611,12.6535806655884,4.643093,3.122543
100ms,40ms,0.7362115,0.6961522,0.09282014,9.95521259307861,4.500915,3.63382
100ms,45ms,0.6926739,0.6638834,0.1093742,8.56229019165039,4.643093,2.303291
100ms,50ms,0.6471906,0.6378835,0.1216874,9.09517765045166,4.228719,4.092912
100ms,5ms,0.9628459,0.9681376,0.02340058,16.5470600128174,13.83949,1.221057
150ms,0ms,0.9598745,0.9589578,0.01579188,18.089527130127,13.43258,0.8020926
150ms,10ms,0.9506437,0.963436,0.03216103,18.089527130127,13.43258,0.8020926
150ms,15ms,0.9416611,0.9490389,0.0345889,17.0462741851807,7.358634,7.324911
150ms,20ms,0.9088058,0.9055366,0.0514578,15.1339998245239,7.819113,5.790659
150ms,25ms,0.8775884,0.878104,0.05500545,13.4325847625732,4.500915,6.453866
150ms,30ms,0.8427457,0.8323805,0.05794588,12.2808141708374,4.500915,3.324404
150ms,35ms,0.8129166,0.7837416,0.06779025,12.2808141708374,4.940217,3.955527
150ms,40ms,0.7871934,0.759827,0.0672991,9.09517765045166,4.500915,3.63382
150ms,45ms,0.7540063,0.7263675,0.0737019,8.56229019165039,4.098469,3.804516
150ms,50ms,0.719017,0.6930978,0.08635305,8.0596399307251,3.849109,4.016935
150ms,5ms,0.9594749,0.9647729,0.01797654,19.1955375671387,14.25845,1.257248
300ms,0ms,0.9931207,0.9969667,0.009609278,19.7732486724854,13.83949,1.652437
300ms,10ms,0.9965449,0.998152,0.003743536,18.6344566345215,13.83949,0.8258677
300ms,15ms,0.9981821,0.9995301,0.002156062,20.9805469512939,13.0374,9.547641
300ms,20ms,0.9983889,0.9990543,0.001918382,19.7732486724854,10.57189,13.07431
300ms,25ms,0.9993519,0.9996136,0.0006789254,19.7732486724854,9.373525,13.43238
300ms,30ms,0.9969308,0.9979045,0.003354574,19.1955375671387,8.56229,13.65424
300ms,35ms,0.993211,0.9938321,0.007595955,17.5602836608887,7.585511,12.30546
300ms,40ms,0.9939218,0.995146,0.006182492,16.5470600128174,6.716438,11.95124
300ms,45ms,0.9985518,0.9985062,0.001253729,14.6898326873779,6.716438,11.07569
300ms,50ms,0.9965447,0.9977274,0.00359642,12.6535806655884,5.763592,9.295253
300ms,5ms,0.995884,0.9972551,0.005742194,19.1955375671387,14.68983,1.751843
50ms,0ms,0.9921161,0.996225,0.01250925,15.1339998245239,6.514577,0.5883179
50ms,10ms,0.9919356,0.9938488,0.008078719,14.6898326873779,9.095178,5.282477
50ms,15ms,0.9844066,0.9864324,0.01033066,14.2584524154663,6.514577,0.1960497
50ms,20ms,0.9459612,0.9480191,0.02833678,15.1339998245239,4.940217,2.588741
50ms,25ms,0.9086886,0.904452,0.03997804,12.2808141708374,4.228719,2.213408
50ms,30ms,0.8697482,0.8607193,0.05479212,7.81911325454712,3.971968,0.6148207
50ms,35ms,0.7874718,0.7780602,0.08747988,7.35863351821899,0,0
50ms,40ms,0.7103738,0.6973328,0.1061546,7.35863351821899,0,0
50ms,45ms,0.6315687,0.6351521,0.1456724,6.92428207397461,0,0
50ms,50ms,0.5428183,0.5358376,0.1620588,6.71643829345703,2.8909,0.09173989
50ms,5ms,0.9938228,0.9955781,0.005403379,14.2584524154663,6.514577,4.012018
70ms,0ms,0.9824347,0.9886688,0.02165745,15.1339998245239,6.716438,7.711368
70ms,10ms,0.959057,0.9640088,0.027651,15.5913314819336,9.373525,3.744473
70ms,15ms,0.9122542,0.9136952,0.04060167,14.2584524154663,6.716438,0.2018614
70ms,20ms,0.843326,0.8138787,0.06225267,13.83948802948,6.318527,2.542609
70ms,25ms,0.8061501,0.7787226,0.06470022,14.2584524154663,4.36283,2.986652
70ms,30ms,0.8018427,0.751856,0.1043186,13.4325847625732,4.098469,2.626774
70ms,35ms,0.7391309,0.6929904,0.1110274,10.5718936920166,4.36283,2.842252
70ms,40ms,0.660424,0.6558867,0.1218564,8.0596399307251,3.501346,2.072454
70ms,45ms,0.6243337,0.6003402,0.1698404,10.5718936920166,5.419748,0
70ms,50ms,0.5600738,0.5399816,0.1748869,9.37352466583252,4.098469,2.172595
70ms,5ms,0.973497,0.987627,0.0366222,15.1339998245239,9.955213,6.152694
