Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.8823895,0.8938406,0.09025902,25.8047904968262,12.65719,0.9388275
100ms,10ms,0.8780829,0.8928961,0.08464979,23.4190864562988,12.03867,1.813888
100ms,15ms,0.873566,0.8838454,0.08892545,23.4190864562988,11.74012,6.332967
100ms,20ms,0.8684195,0.8770778,0.08401947,22.8568077087402,10.88533,7.26186
100ms,25ms,0.8822539,0.8862606,0.0720888,22.307559967041,10.61351,8.595961
100ms,30ms,0.9040028,0.9070675,0.06366491,20.735013961792,10.08861,10.22875
100ms,35ms,0.9064998,0.9020675,0.06113737,20.735013961792,10.34798,10.22875
100ms,40ms,0.9044114,0.9145068,0.06767848,20.234935760498,10.34798,11.04824
100ms,45ms,0.9048553,0.9059902,0.06479141,19.7464466094971,10.08861,10.22875
100ms,50ms,0.892008,0.8908818,0.07530907,18.803165435791,9.835249,10.54212
100ms,5ms,0.8927164,0.9030803,0.06627317,23.9947032928467,12.65719,0.9388275
150ms,0ms,0.8842275,0.895718,0.07837035,26.4370059967041,12.65719,0.9388275
150ms,10ms,0.8679826,0.9015914,0.09296777,27.0842189788818,11.74012,2.888884
150ms,15ms,0.8707804,0.8839572,0.06069489,23.4190864562988,11.44848,5.586836
150ms,20ms,0.8701182,0.8721643,0.06631158,24.5839767456055,10.88533,6.688005
150ms,25ms,0.8759857,0.8883801,0.08570252,24.5839767456055,10.88533,8.595961
150ms,30ms,0.9032417,0.9046108,0.06114456,23.4190864562988,10.61351,11.14421
150ms,35ms,0.9020096,0.916813,0.06526875,22.307559967041,10.88533,10.47141
150ms,40ms,0.8966911,0.9092826,0.05824634,22.307559967041,10.34798,11.63114
150ms,45ms,0.8974366,0.8976882,0.06436867,20.735013961792,10.34798,11.47262
150ms,50ms,0.8939698,0.9058039,0.06316095,20.234935760498,10.61351,11.36161
150ms,5ms,0.8772811,0.9060367,0.0863297,26.4370059967041,12.3443,1.237379
300ms,0ms,0.7762862,0.7773354,0.0659119,23.4190864562988,12.65719,1.565287
300ms,10ms,0.7424879,0.7600045,0.05913353,22.307559967041,12.3443,2.141795
300ms,15ms,0.7377599,0.7354562,0.08123045,24.5839767456055,12.97749,5.481226
300ms,20ms,0.7870421,0.7956602,0.04417444,22.307559967041,11.16361,6.477976
300ms,25ms,0.7693536,0.763193,0.05569597,18.803165435791,12.97749,6.794462
300ms,30ms,0.732304,0.7369491,0.1390659,25.8047904968262,12.3443,10.94051
300ms,35ms,0.8049115,0.810623,0.09542088,25.8047904968262,11.16361,10.87377
300ms,40ms,0.7789271,0.7788576,0.06867632,21.7710418701172,10.61351,9.961093
300ms,45ms,0.6692063,0.7011143,0.164418,24.5839767456055,11.16361,10.37564
300ms,50ms,0.7691303,0.7742651,0.1184548,23.9947032928467,10.61351,12.35183
300ms,5ms,0.7941032,0.8035849,0.05436946,24.5839767456055,12.65719,2.536254
50ms,0ms,0.8959213,0.9023409,0.05113382,20.735013961792,12.65719,0.3128843
50ms,10ms,0.8819331,0.880609,0.04970758,20.234935760498,12.65719,0.9388275
50ms,15ms,0.8790677,0.8877518,0.05090442,20.735013961792,11.16361,3.389736
50ms,20ms,0.8774335,0.8747244,0.04325289,19.2692775726318,10.88533,6.477976
50ms,25ms,0.886236,0.8852859,0.04750612,19.2692775726318,10.08861,7.120419
50ms,30ms,0.8832266,0.8845144,0.04669503,18.3478546142578,10.08861,9.670905
50ms,35ms,0.8870327,0.873373,0.0578546,18.3478546142578,9.587758,8.700665
50ms,40ms,0.8875118,0.8754762,0.06066938,17.4686450958252,9.835249,9.446795
50ms,45ms,0.8800898,0.8779106,0.05060699,17.4686450958252,9.10985,8.653886
50ms,50ms,0.8590698,0.8599668,0.05010515,17.4686450958252,8.653835,8.257448
50ms,5ms,0.8898875,0.8904316,0.04490156,20.234935760498,12.3443,0.6185198
70ms,0ms,0.8940562,0.8957508,0.05361664,21.7710418701172,12.65719,1.266735
70ms,10ms,0.8865989,0.8973939,0.06076952,22.307559967041,12.3443,1.237379
70ms,15ms,0.8827777,0.8832018,0.04596104,21.246955871582,10.88533,3.867644
70ms,20ms,0.8798182,0.8827045,0.04294461,20.735013961792,11.16361,6.688005
70ms,25ms,0.8848076,0.8872134,0.04408116,19.7464466094971,9.835249,9.446795
70ms,30ms,0.900391,0.8967405,0.05635637,19.7464466094971,10.08861,8.907074
70ms,35ms,0.8989847,0.8926432,0.06092191,18.803165435791,10.08861,11.20676
70ms,40ms,0.8927798,0.8846245,0.06224764,17.4686450958252,9.10985,8.805145
70ms,45ms,0.8975962,0.8840507,0.06625266,18.3478546142578,9.587758,10.14656
70ms,50ms,0.8745181,0.8627628,0.06414902,17.4686450958252,9.10985,8.147236
70ms,5ms,0.8902987,0.9100991,0.05659105,22.307559967041,12.3443,0.6185198
