Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.9994032,0.9999628,0.001827324,11.4842910766602,6.675318,5.093832
100ms,10ms,0.9997278,0.9998181,0.0003588485,7.30174160003662,3.605493,2.878437
100ms,15ms,0.9910048,0.9937211,0.008902495,5.34308385848999,2.913106,1.335522
100ms,20ms,0.9657352,0.9666798,0.01156431,4.10561609268188,2.464647,1.078141
100ms,25ms,0.9288805,0.9255654,0.01639092,3.9310576915741,2.365034,1.057158
100ms,30ms,0.8984365,0.8992461,0.02442886,3.60549330711365,2.269971,1.12897
100ms,35ms,0.8233527,0.8183394,0.05646894,3.60549330711365,2.010048,1.028201
100ms,40ms,0.7075983,0.6631585,0.1068262,3.45377612113953,1.784137,1.150181
100ms,45ms,0.6509129,0.6492205,0.1191145,3.30898833274841,2.678402,0
100ms,50ms,0.5828902,0.5678102,0.128849,3.03894853591919,0,0
100ms,5ms,0.9999645,0.9999717,3.881544e-05,10.4845418930054,5.585219,5.695941
150ms,10ms,0.9973891,0.9979023,0.002500548,8.74478530883789,3.931058,2.906817
150ms,15ms,0.9891918,0.9954869,0.01593993,6.10480690002441,2.913106,1.088742
150ms,20ms,0.9754363,0.9935985,0.03470632,5.34308385848999,2.793012,1.6718
150ms,25ms,0.9432226,0.9772523,0.05212653,4.48019552230835,2.365034,1.057158
150ms,30ms,0.8564368,0.8482875,0.02637799,3.9310576915741,2.269971,1.323345
150ms,35ms,0.7985491,0.7916092,0.0455064,3.76447153091431,2.269971,1.451162
150ms,40ms,0.6961203,0.659334,0.08863122,3.76447153091431,1.855949,1.44173
150ms,45ms,0.6347897,0.6208428,0.105364,3.45377612113953,2.678402,0.2239847
150ms,50ms,0.5804803,0.5596867,0.1153134,3.45377612113953,2.569027,0
150ms,5ms,0.9993149,0.9996118,0.0007025463,11.4842910766602,5.112008,6.895626
300ms,10ms,0.9924181,0.9942003,0.00582547,10.4845418930054,4.480196,3.762211
300ms,15ms,0.9881431,0.9931587,0.01204853,7.98955869674683,3.764472,2.433605
300ms,20ms,0.9779402,0.9915641,0.02510866,6.67531776428223,3.170813,2.798813
300ms,25ms,0.9559781,0.9576275,0.02874464,6.10480690002441,2.913106,2.825086
300ms,30ms,0.9221257,0.9227864,0.01787889,6.10480690002441,3.170813,3.935017
300ms,40ms,0.8614169,0.8555195,0.0243216,4.68103456497192,2.569027,2.817153
300ms,45ms,0.8081799,0.8045079,0.05217358,4.28852939605713,1.855949,1.94363
300ms,50ms,0.7488113,0.7458277,0.07174046,3.9310576915741,2.464647,1.547748
300ms,5ms,0.9954509,0.9959599,0.002782027,12.0203294754028,5.838942,6.120252
50ms,0ms,0.999999,1,3.882569e-06,10.4845418930054,3.453776,1.911169
50ms,10ms,0.9967718,0.9984497,0.003588584,4.48019552230835,2.569027,1.160765
50ms,15ms,0.9866797,0.9860123,0.004514156,3.76447153091431,2.464647,1.107751
50ms,20ms,0.9803863,0.9792879,0.005448943,3.45377612113953,2.092672,1.205226
50ms,25ms,0.9625696,0.9612522,0.01193947,3.30898833274841,2.092672,1.090616
50ms,30ms,0.9360283,0.9349188,0.03026196,3.30898833274841,1.855949,0.9812409
50ms,35ms,0.8741861,0.8723459,0.07565914,3.17081308364868,0,0
50ms,40ms,0.8060523,0.8060903,0.1210695,2.9131064414978,0,0
50ms,45ms,0.7848631,0.8265337,0.1290228,2.67840218544006,1.650202,0.3845718
50ms,50ms,0.716059,0.7141038,0.1402337,2.56902694702148,1.650202,0.4388199
50ms,5ms,0.9995148,0.9997991,0.0006786283,5.83894205093384,2.678402,0.7689772
70ms,0ms,0.999986,1,4.889565e-05,10.4845418930054,4.891485,6.120252
70ms,10ms,0.9980237,0.9990162,0.002404999,5.11200761795044,2.913106,1.751808
70ms,15ms,0.9903773,0.9918842,0.005271846,4.10561609268188,2.569027,1.078141
70ms,20ms,0.98092,0.9812025,0.006813303,3.76447153091431,2.365034,1.057158
70ms,25ms,0.9579448,0.9547209,0.01154109,3.45377612113953,2.17925,1.077408
70ms,30ms,0.9335801,0.9290468,0.02204205,3.30898833274841,2.092672,1.090616
70ms,35ms,0.8796722,0.876578,0.05564426,3.45377612113953,1.855949,1.090616
70ms,40ms,0.7998636,0.78098,0.1032988,3.30898833274841,0,0
70ms,45ms,0.7511871,0.7627306,0.123666,2.9131064414978,0,0
70ms,50ms,0.659613,0.6547198,0.1406618,2.67840218544006,1.650202,0.3127596
70ms,5ms,0.9999052,0.9999481,0.0001738482,8.35834789276123,3.038949,1.835645
