Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.9392118,0.939378,0.02804658,18.803165435791,12.65719,0.9388275
100ms,10ms,0.9346021,0.9372594,0.0252006,19.2692775726318,12.3443,0.6185198
100ms,15ms,0.9224881,0.9205335,0.03235368,17.90309715271,11.74012,3.389736
100ms,20ms,0.9141147,0.9096388,0.03396576,17.4686450958252,10.34798,4.758784
100ms,25ms,0.9202573,0.9240856,0.03631428,18.3478546142578,9.346003,6.308876
100ms,30ms,0.9138153,0.915552,0.03874699,17.90309715271,10.08861,8.012102
100ms,35ms,0.9186736,0.9263815,0.04340727,17.90309715271,10.08861,9.069357
100ms,40ms,0.9069359,0.9130612,0.0412597,17.90309715271,8.879169,7.139994
100ms,45ms,0.9056891,0.9108465,0.0476426,15.8292093276978,8.879169,7.467901
100ms,50ms,0.8888031,0.8959489,0.05271123,14.6966857910156,8.653835,7.446102
100ms,5ms,0.9349577,0.9344519,0.03004841,19.2692775726318,12.65719,0.9388275
150ms,0ms,0.9092035,0.9179321,0.04627516,20.735013961792,12.65719,1.266735
150ms,10ms,0.9126834,0.9107081,0.03850717,22.8568077087402,12.65719,0.9388275
150ms,15ms,0.8976705,0.890527,0.04492643,20.735013961792,11.16361,3.631492
150ms,20ms,0.8862801,0.8802539,0.03752902,18.803165435791,10.34798,5.173976
150ms,25ms,0.889668,0.8824532,0.03887435,18.3478546142578,9.587758,8.37225
150ms,30ms,0.893897,0.8928362,0.05188384,17.90309715271,9.835249,8.907074
150ms,35ms,0.8993083,0.8973386,0.05892949,18.3478546142578,10.61351,8.740942
150ms,40ms,0.9023954,0.9161644,0.06037787,18.3478546142578,10.08861,9.069357
150ms,45ms,0.8979937,0.9224989,0.06991954,18.3478546142578,9.346003,8.499038
150ms,50ms,0.8896635,0.9158329,0.07098833,17.90309715271,9.10985,8.147236
150ms,5ms,0.9094933,0.9104946,0.03971914,22.307559967041,12.65719,0.9388275
300ms,0ms,0.8690243,0.8751389,0.05908279,24.5839767456055,12.3443,0.6185198
300ms,10ms,0.8564488,0.8630028,0.08046874,21.7710418701172,12.65719,2.192604
300ms,15ms,0.8290526,0.8244156,0.0770006,22.307559967041,11.74012,2.888884
300ms,20ms,0.7911329,0.8001754,0.09132043,22.307559967041,11.44848,6.262964
300ms,25ms,0.7551803,0.7592658,0.1099739,19.2692775726318,10.34798,6.929192
300ms,30ms,0.8576623,0.8690485,0.0908687,20.735013961792,10.88533,7.26186
300ms,35ms,0.8055182,0.817715,0.1123978,20.735013961792,11.16361,10.01494
300ms,40ms,0.9595229,0.9916561,0.1208075,20.234935760498,12.03867,10.09958
300ms,45ms,0.7359924,0.7861362,0.1898916,19.7464466094971,11.74012,10.01494
300ms,50ms,0.6872915,0.6921186,0.1783923,20.735013961792,10.61351,11.74479
300ms,5ms,0.8370684,0.8369695,0.0940865,22.307559967041,12.65719,0.9388275
50ms,0ms,0.9646021,0.9666911,0.01926378,16.629711151123,12.3443,0.6185198
50ms,10ms,0.962637,0.9659102,0.02057632,17.0442600250244,12.03867,2.043677
50ms,15ms,0.9586806,0.9639782,0.02417089,16.629711151123,10.61351,3.069428
50ms,20ms,0.958905,0.9684021,0.02478412,16.629711151123,10.08861,4.648506
50ms,25ms,0.9616356,0.9656839,0.02145249,16.2247676849365,9.835249,5.81033
50ms,30ms,0.9560538,0.961712,0.0274765,14.3365383148193,9.10985,6.33275
50ms,35ms,0.9528379,0.9589245,0.02675365,14.3365383148193,8.653835,6.819686
50ms,40ms,0.9386009,0.9428371,0.03286097,13.305401802063,8.00868,6.66165
50ms,45ms,0.9379269,0.9468368,0.03422286,12.3443021774292,8.00868,6.064844
50ms,50ms,0.9275123,0.9287234,0.03145747,11.4484825134277,6.49451,3.3354
50ms,5ms,0.9592439,0.9645289,0.02318189,16.2247676849365,11.74012,1.771853
70ms,0ms,0.9537224,0.9550388,0.02037061,17.90309715271,12.3443,0.6185198
70ms,10ms,0.9515911,0.9533179,0.02090208,17.4686450958252,12.65719,0.3128843
70ms,15ms,0.9541126,0.9572114,0.01875439,16.629711151123,10.88533,2.821938
70ms,20ms,0.9498497,0.9527314,0.02339599,16.629711151123,9.835249,5.054076
70ms,25ms,0.9425669,0.9471564,0.0293446,16.629711151123,9.346003,6.482985
70ms,30ms,0.9401175,0.9455552,0.02888833,15.0653781890869,8.879169,6.498882
70ms,35ms,0.9400373,0.9453107,0.02719939,14.3365383148193,8.879169,6.661165
70ms,40ms,0.9295137,0.9341613,0.03823064,14.6966857910156,8.653835,6.819686
70ms,45ms,0.9213335,0.9263421,0.0314156,14.6966857910156,8.653835,6.819686
70ms,50ms,0.9128029,0.9097942,0.03740465,13.305401802063,8.21871,6.960664
70ms,5ms,0.9478613,0.9557946,0.02430362,17.90309715271,12.3443,0.6185198
