Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.7049097,0.732608,0.1248816,35.3014984130859,17.46865,6.910418
100ms,10ms,0.6905736,0.7047178,0.1204636,32.8463745117188,17.04426,8.793548
100ms,15ms,0.6962609,0.71667,0.116927,32.8463745117188,15.82921,8.196269
100ms,20ms,0.6913531,0.7122323,0.1114096,36.1590118408203,15.44282,10.08335
100ms,25ms,0.6915446,0.71696,0.1076578,32.8463745117188,15.44282,15.55167
100ms,30ms,0.7120943,0.7417414,0.09710891,32.8463745117188,15.82921,16.08902
100ms,35ms,0.7103809,0.7280864,0.09753872,31.3029823303223,13.98474,20.92591
100ms,40ms,0.716583,0.7226365,0.07272132,32.8463745117188,14.33654,19.50458
100ms,45ms,0.6979119,0.7108735,0.08818319,31.3029823303223,12.97749,19.80359
100ms,50ms,0.7092697,0.7338007,0.08252604,31.3029823303223,13.98474,20.42115
100ms,5ms,0.6976546,0.7166904,0.1237228,36.1590118408203,17.04426,6.750278
150ms,0ms,0.5756594,0.6056757,0.1610056,34.4638633728027,17.04426,9.650373
150ms,10ms,0.5712405,0.6027792,0.1670141,33.6456413269043,16.62971,9.42674
150ms,15ms,0.5618992,0.5852494,0.1587815,33.6456413269043,16.62971,10.26889
150ms,20ms,0.5704263,0.6083589,0.1560611,35.3014984130859,16.62971,10.81814
150ms,25ms,0.5800312,0.5911536,0.1399542,35.3014984130859,15.44282,11.95958
150ms,30ms,0.5824816,0.5878319,0.1276198,34.4638633728027,15.06538,17.24897
150ms,35ms,0.5739394,0.5779166,0.1355396,32.0656318664551,14.33654,23.12342
150ms,40ms,0.5820968,0.5926154,0.1312902,32.8463745117188,13.64109,20.2734
150ms,45ms,0.5938047,0.6046847,0.1158605,31.3029823303223,12.3443,20.56548
150ms,50ms,0.587743,0.5908784,0.1136635,32.0656318664551,11.74012,20.70647
150ms,5ms,0.5633681,0.5889509,0.1656656,34.4638633728027,17.04426,9.330066
300ms,0ms,0.3190675,0.3009511,0.1389345,37.0368614196777,18.34785,12.53004
300ms,10ms,0.3101301,0.292102,0.1292053,37.9355392456055,17.46865,14.06468
300ms,15ms,0.3083323,0.2897821,0.1340678,37.9355392456055,16.62971,13.42037
300ms,20ms,0.3296398,0.3224458,0.124771,37.0368614196777,18.34785,22.19716
300ms,25ms,0.3095952,0.3046173,0.1312257,36.1590118408203,16.22477,18.42567
300ms,30ms,0.3000932,0.2770744,0.1326701,36.1590118408203,16.62971,24.7205
300ms,35ms,0.3447908,0.3395641,0.1255584,34.4638633728027,15.82921,24.59099
300ms,40ms,0.3589474,0.3333718,0.1260408,36.1590118408203,15.82921,23.88014
300ms,45ms,0.3248598,0.3041876,0.1338881,36.1590118408203,12.97749,22.50747
300ms,50ms,0.329859,0.3234809,0.1237486,34.4638633728027,12.03867,25.9917
300ms,5ms,0.296396,0.2962728,0.1391256,38.8555335998535,17.9031,12.84293
50ms,0ms,0.7085046,0.7251931,0.1153924,31.3029823303223,17.9031,3.917237
50ms,10ms,0.6802586,0.6770992,0.1255828,31.3029823303223,16.22477,7.257442
50ms,15ms,0.6835324,0.6866375,0.106196,32.8463745117188,15.44282,7.70778
50ms,20ms,0.6805136,0.6862819,0.1034276,32.0656318664551,15.82921,8.196269
50ms,25ms,0.6754569,0.6706545,0.1057839,32.0656318664551,15.44282,8.786453
50ms,30ms,0.690319,0.6966363,0.08131312,28.4250679016113,13.98474,14.07663
50ms,35ms,0.6728485,0.6750287,0.08641095,30.5580062866211,14.33654,19.19121
50ms,40ms,0.6936012,0.6848052,0.09055904,30.5580062866211,12.65719,14.55228
50ms,45ms,0.6909464,0.6918445,0.09007186,28.4250679016113,12.65719,15.35138
50ms,50ms,0.6828546,0.7130374,0.1183486,27.7467823028564,11.74012,17.47317
50ms,5ms,0.7056847,0.7055998,0.09994544,32.8463745117188,17.04426,5.409908
70ms,0ms,0.6964188,0.7001131,0.1144818,32.0656318664551,17.04426,6.250199
70ms,10ms,0.6933538,0.6976338,0.1093134,32.0656318664551,16.22477,8.077827
70ms,15ms,0.6860293,0.7038144,0.1161986,32.8463745117188,15.82921,8.196269
70ms,20ms,0.6832526,0.682164,0.1108587,32.8463745117188,15.44282,8.494821
70ms,25ms,0.6897664,0.6993806,0.09645932,31.3029823303223,14.69669,13.70569
70ms,30ms,0.684381,0.683737,0.09855811,29.8302936553955,14.69669,14.0664
70ms,35ms,0.686507,0.6866751,0.09282756,29.8302936553955,13.98474,14.89751
70ms,40ms,0.7008345,0.7142551,0.08609267,28.4250679016113,13.3054,15.20362
70ms,45ms,0.6990318,0.7176287,0.09142343,29.1194458007812,12.3443,19.20034
70ms,50ms,0.6924752,0.7126645,0.1088562,29.1194458007812,11.44848,19.48565
70ms,5ms,0.7111185,0.7110703,0.1043758,33.6456413269043,17.04426,7.093927
