Vent speed (m/s),Wind Speed (m/s),stability mean,stability med,stability SD,Max plume height (km),Neutral Buoyancy Height (km),NBH err (km)
100ms,0ms,0.9006546,0.9160903,0.06177958,22.8568077087402,11.16361,2.821938
100ms,10ms,0.9036424,0.9037146,0.05606709,19.7464466094971,9.10985,3.947487
100ms,15ms,0.9064712,0.9128356,0.04397887,19.2692775726318,8.433722,5.744093
100ms,20ms,0.8832303,0.881329,0.0441223,17.90309715271,8.433722,6.81291
100ms,25ms,0.8750221,0.8845276,0.04948557,16.2247676849365,6.158304,8.486537
100ms,30ms,0.8530011,0.8590911,0.05461412,16.2247676849365,5.531393,9.778262
100ms,35ms,0.8295607,0.8335875,0.05579543,15.442816734314,5.098322,10.32805
100ms,40ms,0.8149209,0.8186318,0.05698869,14.3365383148193,4.694666,10.20305
100ms,45ms,0.7930555,0.7807288,0.072616,14.3365383148193,4.826076,10.76506
100ms,50ms,0.7710412,0.7664537,0.06366187,12.9774942398071,3.856226,9.52953
100ms,5ms,0.8877451,0.8942061,0.07367783,21.246955871582,10.34798,2.860946
150ms,0ms,0.8937722,0.9093529,0.05995434,22.8568077087402,12.3443,1.856919
150ms,10ms,0.8993683,0.901675,0.04357522,21.7710418701172,9.10985,4.419159
150ms,15ms,0.9034667,0.9109448,0.05539209,19.2692775726318,7.029324,8.597011
150ms,20ms,0.8792166,0.8849437,0.0604232,19.2692775726318,9.835249,6.276078
150ms,25ms,0.85424,0.8745572,0.0747421,19.2692775726318,7.407347,8.908901
150ms,30ms,0.8146865,0.8190312,0.06991764,17.90309715271,5.682652,10.81113
150ms,35ms,0.7470115,0.7430486,0.07107155,16.629711151123,5.682652,11.20881
150ms,40ms,0.7298837,0.7232649,0.08688212,16.629711151123,5.239307,12.5653
150ms,45ms,0.7458239,0.7189445,0.09850468,16.2247676849365,4.566302,11.38358
150ms,50ms,0.7345983,0.6997163,0.107149,15.0653781890869,4.960604,11.82353
150ms,5ms,0.8912863,0.9047893,0.06514635,22.307559967041,10.34798,2.630265
300ms,0ms,0.7967279,0.8106062,0.05680025,22.8568077087402,10.88533,1.359872
300ms,10ms,0.8000588,0.8164555,0.05771695,20.735013961792,7.60311,6.622406
300ms,15ms,0.8087152,0.8194559,0.07551379,20.234935760498,7.407347,9.925245
300ms,20ms,0.7807841,0.7904183,0.0799718,21.7710418701172,9.10985,6.498882
300ms,25ms,0.7798173,0.7836858,0.08019161,18.803165435791,9.835249,7.30938
300ms,30ms,0.7826005,0.7906225,0.0590474,18.3478546142578,6.668618,10.25315
300ms,35ms,0.4984246,0.4444088,0.1619608,20.735013961792,6.49451,9.925245
300ms,40ms,0.5017125,0.5031524,0.1244403,18.803165435791,5.682652,11.27697
300ms,45ms,0.4939296,0.4507177,0.149104,19.2692775726318,5.996022,12.90858
300ms,50ms,0.9980735,0.9979475,0.001455308,19.7464466094971,12.3443,7.114918
300ms,5ms,0.7553977,0.7518179,0.05112961,20.234935760498,9.835249,3.521405
50ms,0ms,0.8912801,0.9012074,0.05954815,20.735013961792,10.88533,2.756544
50ms,10ms,0.8978303,0.8979854,0.0375559,17.0442600250244,8.653835,3.766653
50ms,15ms,0.8745385,0.8753425,0.0414537,15.442816734314,7.21612,6.68655
50ms,20ms,0.866555,0.8657408,0.04375165,15.0653781890869,5.996022,8.201661
50ms,25ms,0.8475271,0.8502138,0.05231659,13.305401802063,5.531393,8.622743
50ms,30ms,0.8388108,0.8467014,0.05343125,12.9774942398071,5.098322,8.856902
50ms,35ms,0.8355075,0.8398972,0.06051,12.0386667251587,4.566302,8.962106
50ms,40ms,0.822577,0.8184461,0.07553636,12.0386667251587,3.967745,9.074381
50ms,45ms,0.7868835,0.7802952,0.07294573,10.6135091781616,3.856226,8.363241
50ms,50ms,0.7291985,0.7263337,0.0594383,10.6135091781616,3.435401,7.209205
50ms,5ms,0.896464,0.9037712,0.05101328,17.4686450958252,9.835249,2.729885
70ms,0ms,0.9026987,0.9045497,0.04492045,19.7464466094971,10.61351,1.613234
70ms,10ms,0.9009069,0.9045724,0.0381659,17.4686450958252,9.10985,3.477986
70ms,15ms,0.8965029,0.8960826,0.04605092,16.2247676849365,8.433722,5.452461
70ms,20ms,0.8679119,0.8675171,0.03727961,15.8292093276978,7.21612,7.480738
70ms,25ms,0.8525409,0.8517825,0.04865343,16.2247676849365,7.029324,8.486537
70ms,30ms,0.847474,0.8506323,0.05307771,14.6966857910156,5.239307,9.643526
70ms,35ms,0.8368312,0.8485259,0.05747222,13.6410865783691,4.826076,9.452991
70ms,40ms,0.8365564,0.8277529,0.0736514,12.3443021774292,4.318428,9.185551
70ms,45ms,0.80631,0.7924061,0.08223663,12.3443021774292,4.08191,9.074381
70ms,50ms,0.7666211,0.7679158,0.07262792,11.4484825134277,3.536937,8.070562
70ms,5ms,0.9054837,0.9120041,0.03920072,18.803165435791,9.346003,3.360088
